epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85123,1.4462,3.17459,1.50454,0.00356,1,0.26961,0.16774,1.22266,3.27322,1.4039,6e-05,6e-05,6e-05
2,11.4256,1.63165,3.20642,1.58209,0.00356,1,0.53478,0.34132,1.16749,3.23968,1.35822,0.000138614,0.000138614,0.000138614
3,13.6664,1.49707,2.50819,1.50156,0.00356,1,0.58827,0.35193,1.21241,3.10641,1.42918,0.000215644,0.000215644,0.000215644
4,15.9989,1.39945,2.09181,1.4323,0.00356,1,0.60829,0.37726,1.27549,3.09905,1.42476,0.00029109,0.00029109,0.00029109
5,18.0205,1.55869,2.06046,1.41774,0.00356,1,0.54082,0.32071,1.27386,3.20897,1.45034,0.000364952,0.000364952,0.000364952
6,19.7418,1.52251,2.17292,1.37886,0.30271,0.625,0.47717,0.27829,1.39665,3.27906,1.66427,0.00043723,0.00043723,0.00043723
7,21.121,1.4967,2.11334,1.39756,0.53787,0.625,0.63604,0.35653,1.38509,3.21321,1.53509,0.000507924,0.000507924,0.000507924
8,25.1546,1.42354,2.10593,1.35068,1,0.17499,0.60779,0.39611,1.45268,3.17451,1.54781,0.000577034,0.000577034,0.000577034
9,30.566,1.49024,2.07543,1.42152,1,0.11908,0.5822,0.31782,1.56824,3.26817,1.59402,0.00064456,0.00064456,0.00064456
10,31.8873,1.39498,1.93289,1.3267,0.71804,0.31906,0.44864,0.23634,1.80024,3.42392,1.84095,0.000710502,0.000710502,0.000710502
11,33.1955,1.57001,2.02371,1.38538,1,0.19171,0.47241,0.24479,1.72555,3.33451,1.76748,0.00077486,0.00077486,0.00077486
12,34.4724,1.29165,1.86091,1.24777,0.73085,0.34149,0.43441,0.25377,1.65874,3.1091,1.65319,0.000837634,0.000837634,0.000837634
13,35.7916,1.46766,2.00114,1.3769,0.66243,0.375,0.4652,0.25749,1.85193,3.02324,1.73584,0.000898824,0.000898824,0.000898824
14,37.0765,1.46444,1.95446,1.35394,0.76032,0.39822,0.48585,0.29706,1.74891,3.06415,1.79386,0.00095843,0.00095843,0.00095843
15,38.3485,1.38966,1.85743,1.34905,0.61121,0.375,0.44647,0.27238,1.48828,3.01128,1.60896,0.00101645,0.00101645,0.00101645
16,39.6482,1.42999,1.89112,1.41768,0.57156,0.4375,0.40993,0.24268,1.69106,2.89547,1.59911,0.00107289,0.00107289,0.00107289
